accession,Entry Name,organism,ec_number,length,protein_name,taxonomic_group,length_bin,ec_main_class
Q3T7C9,DPH1_PENVA,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),2.5.1.108,423,2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (EC 2.5.1.108) (Diphthamide biosynthesis protein 1) (Diphtheria toxin resistance protein 1) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 1) (Tumor suppressor-like protein) (TSL),Crustaceans,"(420, 430]",2
A0A0B4ZTQ2,PT2_HUMLU,Humulus lupulus (European hop),2.5.1.137,408,"2-acyl-4-prenylphloroglucinol 6-prenyltransferase, chloroplastic (EC 2.5.1.137) (Aromatic prenyltransferase PT2) (Humulus lupulus prenyltransferase-2) (HlPT2)",Protists,"(400, 410]",2
Q3KPP4,MOGT1_XENLA,Xenopus laevis (African clawed frog),2.3.1.22,335,2-acylglycerol O-acyltransferase 1 (EC 2.3.1.22) (Acyl-CoA:monoacylglycerol acyltransferase 1) (MGAT1) (Monoacylglycerol O-acyltransferase 1),Amphibians,"(330, 340]",2
Q5M8H5,MOGT2_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2.3.1.20; 2.3.1.22,335,2-acylglycerol O-acyltransferase 2 (EC 2.3.1.20) (EC 2.3.1.22) (Acyl-CoA:monoacylglycerol acyltransferase 2) (MGAT2) (Monoacylglycerol O-acyltransferase 2),Amphibians,"(330, 340]",2
Q5M7F4,MOG2B_XENLA,Xenopus laevis (African clawed frog),2.3.1.20; 2.3.1.22,335,2-acylglycerol O-acyltransferase 2-B (EC 2.3.1.20) (EC 2.3.1.22) (Acyl-CoA:monoacylglycerol acyltransferase 2-B) (MGAT2-B) (Monoacylglycerol O-acyltransferase 2-B),Amphibians,"(330, 340]",2
A0A0B5A051,PT1L_HUMLU,Humulus lupulus (European hop),2.5.1.136,414,2-acylphloroglucinol 4-prenyltransferase (EC 2.5.1.136) (Aromatic prenyltransferase PT1L) (Humulus lupulus prenyltransferase-1-like) (HlPT1L),Protists,"(410, 420]",2
W5EP13,CA1P_WHEAT,Triticum aestivum (Wheat),3.1.3.63,495,2-carboxy-D-arabinitol-1-phosphatase (EC 3.1.3.63),Plants,"(490, 500]",3
A0A1J1DL12,RIDA_DERFA,Dermatophagoides farinae (American house dust mite),3.5.99.10,128,2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (Allergen Der f 34) (Enamine/imine deaminase) (allergen Der f 34.0101),Arachnids,"(120, 130]",3
Q0ZDF7,URAD_AMICA,Amia calva (Bowfin),4.1.1.97,175,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (OHCU decarboxylase) (EC 4.1.1.97) (Parahox neighbor) (Ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase),Fish,"(170, 180]",4
A1L259,URAD_DANRE,Danio rerio (Zebrafish) (Brachydanio rerio),4.1.1.97,174,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (OHCU decarboxylase) (EC 4.1.1.97) (Parahox neighbor) (Ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase),Fish,"(170, 180]",4
A1L1C5,URAD_XENLA,Xenopus laevis (African clawed frog),4.1.1.97,175,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (OHCU decarboxylase) (EC 4.1.1.97) (Parahox neighbor) (Ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase),Amphibians,"(170, 180]",4
Q5ZHV5,JMJD4_CHICK,Gallus gallus (Chicken),1.14.11.-,425,2-oxoglutarate and iron-dependent oxygenase JMJD4 (EC 1.14.11.-) (JmjC domain-containing protein 4) (Jumonji domain-containing protein 4) (Lysyl-hydroxylase JMJD4),Birds,"(420, 430]",1
Q28C22,OGFD2_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1.14.11.-,349,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2 (EC 1.14.11.-),Amphibians,"(340, 350]",1
Q9ZTA1,AOP3C_ARATH,Arabidopsis thaliana (Mouse-ear cress),1.14.11.-,411,2-oxoglutarate-dependent dioxygenase AOP3 (EC 1.14.11.-),Plants,"(410, 420]",1
A0A0C2SRU5,IBOH_AMAMK,Amanita muscaria (strain Koide BX008),1.14.11.76,206,2-oxoglutarate-dependent dioxygenase iboH (EC 1.14.11.76) (Ibotenic acid biosynthesis cluster protein H),Protists,"(200, 210]",1
A0A0F9ZXE3,THNC_TRIHA,Trichoderma harzianum (Hypocrea lixii),1.14.11.-,320,2-oxoglutarate-dependent dioxygenase thnC (EC 1.14.11.-) (Trihazone biosynthesis cluster protein C),Protists,"(310, 320]",1
B3LWP6,WRNXO_DROAN,Drosophila ananassae (Fruit fly),3.1.11.-,355,3'-5' exonuclease (EC 3.1.11.-) (Werner Syndrome-like exonuclease),Insects,"(350, 360]",3
B3NZ68,WRNXO_DROER,Drosophila erecta (Fruit fly),3.1.11.-,354,3'-5' exonuclease (EC 3.1.11.-) (Werner Syndrome-like exonuclease),Insects,"(350, 360]",3
B4JF25,WRNXO_DROGR,Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi),3.1.11.-,331,3'-5' exonuclease (EC 3.1.11.-) (Werner Syndrome-like exonuclease),Insects,"(330, 340]",3
B4K934,WRNXO_DROMO,Drosophila mojavensis (Fruit fly),3.1.11.-,329,3'-5' exonuclease (EC 3.1.11.-) (Werner Syndrome-like exonuclease),Insects,"(320, 330]",3
B4G5C9,WRNXO_DROPE,Drosophila persimilis (Fruit fly),3.1.11.-,355,3'-5' exonuclease (EC 3.1.11.-) (Werner Syndrome-like exonuclease),Insects,"(350, 360]",3
B4I298,WRNXO_DROSE,Drosophila sechellia (Fruit fly),3.1.11.-,354,3'-5' exonuclease (EC 3.1.11.-) (Werner Syndrome-like exonuclease),Insects,"(350, 360]",3
B4QUF6,WRNXO_DROSI,Drosophila simulans (Fruit fly),3.1.11.-,354,3'-5' exonuclease (EC 3.1.11.-) (Werner Syndrome-like exonuclease),Insects,"(350, 360]",3
B4M401,WRNXO_DROVI,Drosophila virilis (Fruit fly),3.1.11.-,330,3'-5' exonuclease (EC 3.1.11.-) (Werner Syndrome-like exonuclease),Insects,"(320, 330]",3
B4N9D3,WRNXO_DROWI,Drosophila willistoni (Fruit fly),3.1.11.-,356,3'-5' exonuclease (EC 3.1.11.-) (Werner Syndrome-like exonuclease),Insects,"(350, 360]",3
B4PLB3,WRNXO_DROYA,Drosophila yakuba (Fruit fly),3.1.11.-,354,3'-5' exonuclease (EC 3.1.11.-) (Werner Syndrome-like exonuclease),Insects,"(350, 360]",3
A0A0A1EQ07,CXE2_PAPSO,Papaver somniferum (Opium poppy),3.1.1.105,313,3-O-acetylpapaveroxine carboxylesterase CXE2 (EC 3.1.1.105) (Carboxylesterase 2),Protists,"(310, 320]",3
X2EW55,C71B1_TANPA,Tanacetum parthenium (Feverfew) (Matricaria parthenium),1.14.14.-,499,3-beta-hydroxylase (Tp8878) (EC 1.14.14.-) (Cytochrome P450 71CB1),Plants,"(490, 500]",1
U3KRF2,DHQS_ACTCC,Actinidia chinensis var. chinensis (Chinese soft-hair kiwi),4.2.3.4,445,"3-dehydroquinate synthase, chloroplastic (EC 4.2.3.4)",Plants,"(440, 450]",4
W5U2K2,NMT_CATRO,Catharanthus roseus (Madagascar periwinkle) (Vinca rosea),2.1.1.99,289,"3-hydroxy-16-methoxy-2,3-dihydrotabersonine N-methyltransferase (EC 2.1.1.99) (16-methoxy-2,3-dihydro-3-hydroxytabersonine N-methyltransferase) (2,3-dihydrotabersonine N-methyltransferase) (CrDhtNMT) (CrNMT)",Plants,"(280, 290]",2
A0A0A1C3I2,HMGR1_PANGI,Panax ginseng (Korean ginseng),1.1.1.34,573,3-hydroxy-3-methylglutaryl coenzyme A reductase 1 (HMG-CoA reductase 1) (Hydroxymethylglutaryl-CoA reductase) (PgHMGR1) (EC 1.1.1.34),Protists,"(570, 580]",1
A0A0A1C930,HMR2A_PANGI,Panax ginseng (Korean ginseng),1.1.1.34,594,3-hydroxy-3-methylglutaryl coenzyme A reductase 2-A (HMG-CoA reductase 2) (Hydroxymethylglutaryl-CoA reductase) (PgHMGR2) (EC 1.1.1.34),Protists,"(590, 600]",1
U5JCC6,HMR2B_PANGI,Panax ginseng (Korean ginseng),1.1.1.34,589,3-hydroxy-3-methylglutaryl coenzyme A reductase 2-B (HMG-CoA reductase 2) (Hydroxymethylglutaryl-CoA reductase) (PgHMGR2) (EC 1.1.1.34),Plants,"(580, 590]",1
Q9XHL5,HMDH3_ORYSJ,Oryza sativa subsp. japonica (Rice),1.1.1.34,561,3-hydroxy-3-methylglutaryl-coenzyme A reductase 3 (HMG-CoA reductase 3) (EC 1.1.1.34),Plants,"(560, 570]",1
Q6DIZ0,3HAO_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1.13.11.6,280,"3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)",Amphibians,"(270, 280]",1
Q5ZJ60,HIBCH_CHICK,Gallus gallus (Chicken),3.1.2.4,385,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (EC 3.1.2.4) (3-hydroxyisobutyryl-coenzyme A hydrolase) (HIB-CoA hydrolase) (HIBYL-CoA-H)",Birds,"(380, 390]",3
Q9ZW85,LEUD3_ARATH,Arabidopsis thaliana (Mouse-ear cress),4.2.1.33,251,3-isopropylmalate dehydratase small subunit 1 (EC 4.2.1.33) (AtLEUD3) (Isopropylmalate isomerase small subunit 1) (IPMI SSU1),Plants,"(250, 260]",4
Q9ZW84,LEUD1_ARATH,Arabidopsis thaliana (Mouse-ear cress),4.2.1.170; 4.2.1.33,256,3-isopropylmalate dehydratase small subunit 2 (EC 4.2.1.33) (2-(omega-methylthio)alkylmalate dehydratase small subunit 2) (EC 4.2.1.170) (AtLEUD1) (Isopropylmalate isomerase 2) (Isopropylmalate isomerase small subunit 2) (IPMI SSU2) (Methylthioalkylmalate isomerase small subunit) (MAM-IS),Plants,"(250, 260]",4
Q9XF43,KCS6_ARATH,Arabidopsis thaliana (Mouse-ear cress),2.3.1.199,497,3-ketoacyl-CoA synthase 6 (KCS-6) (EC 2.3.1.199) (Cuticular protein 1) (Eceriferum 6) (Very long-chain fatty acid condensing enzyme 6) (VLCFA condensing enzyme 6),Plants,"(490, 500]",2
A0A0A7EQR3,GCE_CERUI,Cerrena unicolor (Canker rot fungus) (Daedalea unicolor),3.1.1.117,474,4-O-methyl-glucuronoyl methylesterase (EC 3.1.1.117) (Glucuronoyl esterase) (GE),Protists,"(470, 480]",3
Q6NY77,HOGA1_DANRE,Danio rerio (Zebrafish) (Brachydanio rerio),4.1.3.16,324,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial (EC 4.1.3.16) (Dihydrodipicolinate synthase-like) (DHDPS-like protein) (Probable 2-keto-4-hydroxyglutarate aldolase) (Probable KHG-aldolase)",Fish,"(320, 330]",4
Q5M8W9,HOGA1_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),4.1.3.16,328,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial (EC 4.1.3.16) (Dihydrodipicolinate synthase-like) (DHDPS-like protein) (Probable 2-keto-4-hydroxyglutarate aldolase) (Probable KHG-aldolase)",Amphibians,"(320, 330]",4
A0A2Z5WA18,ISPH_BOTBR,Botryococcus braunii (Green alga),1.17.7.4,502,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, chloroplastic (BbHDR) (EC 1.17.7.4)",Algae,"(500, 510]",1
A0A0F7GG11,TASA_HAPIR,Hapsidospora irregularis,4.1.3.17,270,4-hydroxy-4-methyl-2-oxoglutarate aldolase tasA (EC 4.1.3.17) (Tetramic acid Sch210971/2 biosynthesis cluster protein A),Protists,"(260, 270]",4
Q5QJC3,DCR1B_CHICK,Gallus gallus (Chicken),3.1.-.-; 3.5.2.6,457,5' exonuclease Apollo (EC 3.1.-.-) (Beta-lactamase MBLAC2) (EC 3.5.2.6) (DNA cross-link repair 1B protein) (SNM1 homolog B),Birds,"(450, 460]",3
Q1LUI2,HDDC2_DANRE,Danio rerio (Zebrafish) (Brachydanio rerio),3.1.3.89,200,5'-deoxynucleotidase HDDC2 (EC 3.1.3.89) (HD domain-containing protein 2),Fish,"(190, 200]",3
Q66L17,HDDC2_XENLA,Xenopus laevis (African clawed frog),3.1.3.89,201,5'-deoxynucleotidase HDDC2 (EC 3.1.3.89) (HD domain-containing protein 2),Amphibians,"(200, 210]",3
P18080,HEM0_CHICK,Gallus gallus (Chicken),2.3.1.37,513,"5-aminolevulinate synthase, erythroid-specific, mitochondrial (ALAS-E) (EC 2.3.1.37) (5-aminolevulinic acid synthase 2) (Delta-ALA synthase 2) (Delta-aminolevulinate synthase 2)",Birds,"(510, 520]",2
C1BW56,DNPH1_ESOLU,Esox lucius (Northern pike),3.2.2.-,145,5-hydroxymethyl-dUMP N-hydrolase (EC 3.2.2.-) (2'-deoxynucleoside 5'-phosphate N-hydrolase 1),Fish,"(140, 150]",3
Q4S2L4,DNPH1_TETNG,Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis),3.2.2.-,142,5-hydroxymethyl-dUMP N-hydrolase (EC 3.2.2.-) (2'-deoxynucleoside 5'-phosphate N-hydrolase 1),Fish,"(140, 150]",3
A0A2K3D5Z7,CMD1_CHLRE,Chlamydomonas reinhardtii (Chlamydomonas smithii),1.14.99.-,532,5-methylcytosine-modifying enzyme 1 (5mC-modifying enzyme 1) (EC 1.14.99.-) (Ten-eleven translocation 1 gene protein homolog) (CrTET1),Algae,"(530, 540]",1
Q9XH32,RISB_SPIOL,Spinacia oleracea (Spinach),2.5.1.78,222,"6,7-dimethyl-8-ribityllumazine synthase, chloroplastic (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)",Plants,"(220, 230]",2
A0A075TXZ1,PATG_PENEN,Penicillium expansum (Blue mold rot fungus),4.1.1.52,324,6-methylsalicylic acid decarboxylase (EC 4.1.1.52) (Patulin biosynthesis cluster protein G),Protists,"(320, 330]",4
Q90W95,PTPS_POERE,Poecilia reticulata (Guppy) (Acanthophacelus reticulatus),4.2.3.12,147,6-pyruvoyl tetrahydrobiopterin synthase (PTP synthase) (PTPS) (EC 4.2.3.12),Fish,"(140, 150]",4
P80081,PTPS_SALSA,Salmo salar (Atlantic salmon),4.2.3.12,103,6-pyruvoyl tetrahydrobiopterin synthase (PTP synthase) (PTPS) (EC 4.2.3.12),Fish,"(100, 110]",4
A0A067E1K2,C8A51_CITSI,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),1.14.14.-,488,"7,8-epoxymelianol synthase CYP88A51 (EC 1.14.14.-) (Cytochrome P450 family 88 subfamily A polypeptide 51) (CsCYP88A51)",Protists,"(480, 490]",1
U5NH37,7DLGT_CATRO,Catharanthus roseus (Madagascar periwinkle) (Vinca rosea),2.4.1.323,482,7-deoxyloganetic acid glucosyl transferase (7-DLGT) (Cr7DLGT) (EC 2.4.1.323) (UDP glycosyltransferase 709C2) (UDP-sugar glycosyltransferase 8) (Cr-UGT8),Plants,"(480, 490]",2
U3U992,UGT8_CATRO,Catharanthus roseus (Madagascar periwinkle) (Vinca rosea),2.4.1.323,482,7-deoxyloganetic acid glucosyltransferase (EC 2.4.1.323) (UDP-glucose glucosyltransferase 8) (CrUGT8) (UDP-glycosyltransferase 709C2),Plants,"(480, 490]",2
U5NE19,7DLH_CATRO,Catharanthus roseus (Madagascar periwinkle) (Vinca rosea),1.14.14.85,521,7-deoxyloganic acid hydroxylase (Cr7DLH) (EC 1.14.14.85) (Cytochrome P450 72A224) (CYP72A224),Plants,"(520, 530]",1
Q2TAG6,5N3BB_XENLA,Xenopus laevis (African clawed frog),3.1.3.5; 3.1.3.91,290,7-methylguanosine phosphate-specific 5'-nucleotidase B (7-methylguanosine nucleotidase B) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3B-B) (Cytosolic 5'-nucleotidase III-like protein B) (cN-III-like protein B) (EC 3.1.3.5) (N(7)-methylguanylate 5'-phosphatase B),Amphibians,"(280, 290]",3
A0A061FMF5,BTS1_THECC,Theobroma cacao (Cacao) (Cocoa),2.1.1.159,363,7-methylxanthine methyltransferase 1 (EC 2.1.1.159) (Theobromine synthase BTS1),Protists,"(360, 370]",2
W8JWV8,8HGO_CATRO,Catharanthus roseus (Madagascar periwinkle) (Vinca rosea),1.1.1.-,378,8-hydroxygeraniol oxidoreductase (8-HGO) (Cr8HGO) (EC 1.1.1.-) (Alcohol dehydrogenase 10),Plants,"(370, 380]",1
Q568Q0,NUD18_DANRE,Danio rerio (Zebrafish) (Brachydanio rerio),3.6.1.58,325,"8-oxo-dGDP phosphatase NUDT18 (EC 3.6.1.58) (2-hydroxy-dADP phosphatase) (7,8-dihydro-8-oxoguanine phosphatase) (Nucleoside diphosphate-linked moiety X motif 18) (Nudix motif 18)",Fish,"(320, 330]",3
A0A075FBG7,ELS_MARVU,Marrubium vulgare (White horehound),4.2.3.131; 4.2.3.189; 4.2.3.190,580,"9,13-epoxylabda-14-ene synthase, chloroplastic (EC 4.2.3.189) (Manoyl oxide synthase) (EC 4.2.3.190) (Miltiradiene synthase) (EC 4.2.3.131)",Protists,"(570, 580]",4
A0A0D1CHL0,LP10_MYCMD,Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis),1.14.99.-,326,AA10 family lytic polysaccharide monooxygenase C (AAC10) (EC 1.14.99.-),Protists,"(320, 330]",1
A0A060SMC0,LP14A_PYCCI,Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina),1.14.99.-,434,AA14 family lytic polysaccharide monooxygenase A (LPMO AA14A) (EC 1.14.99.-),Protists,"(430, 440]",1
A0A060SRI5,LP14B_PYCCI,Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina),1.14.99.-,374,AA14 family lytic polysaccharide monooxygenase B (LPMO AA4B) (EC 1.14.99.-),Protists,"(370, 380]",1
A0A0J9XKT0,LP9A_GEOCN,Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum),1.14.99.56,288,"AA9 family lytic polysaccharide monooxygenase A (LPMO9A) (EC 1.14.99.56) (Cellulase LPMO9A) (Endo-beta-1,4-glucanase LPMO9A) (Endoglucanase LPMO9A) (Glycosyl hydrolase 61 family protein LPMO9A)",Protists,"(280, 290]",1
A0A0H4K9X4,LP9A_THETO,Thermothelomyces thermophilus (Myceliophthora thermophila),1.14.99.56,225,"AA9 family lytic polysaccharide monooxygenase A (LPMO9A) (EC 1.14.99.56) (Cellulase LPMO9A) (Endo-beta-1,4-glucanase LPMO9A) (Endoglucanase LPMO9A) (Glycosyl hydrolase 61 family protein LPMO9A)",Protists,"(220, 230]",1
A0A0J9XL55,LP9B_GEOCN,Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum),1.14.99.56,359,"AA9 family lytic polysaccharide monooxygenase B (LPMO9B) (EC 1.14.99.56) (Cellulase LPMO9B) (Endo-beta-1,4-glucanase LPMO9B) (Endoglucanase LPMO9B) (Glycosyl hydrolase 61 family protein LPMO9B)",Protists,"(350, 360]",1
A0A0J9XK58,LP9C_GEOCN,Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum),1.14.99.56,530,"AA9 family lytic polysaccharide monooxygenase C (LPMO9C) (EC 1.14.99.56) (Cellulase LPMO9C) (Endo-beta-1,4-glucanase LPMO9C) (Endoglucanase LPMO9C) (Glycosyl hydrolase 61 family protein LPMO9C)",Protists,"(520, 530]",1
A0A0J9XBC9,LP9D_GEOCN,Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum),1.14.99.56,321,"AA9 family lytic polysaccharide monooxygenase D (LPMO9D) (EC 1.14.99.56) (Cellulase LPMO9D) (Endo-beta-1,4-glucanase LPMO9D) (Endoglucanase LPMO9D) (Glycosyl hydrolase 61 family protein LPMO9D)",Protists,"(320, 330]",1
P29241,NADA_APLCA,Aplysia californica (California sea hare),2.4.99.20; 3.2.2.-,282,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.-) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase) (ADPRC) (ADRC) (NAD glycohydrolase) (NAD(+) nucleosidase) (NADase),Molluscs,"(280, 290]",2
Q27312,NADA_APLKU,Aplysia kurodai (Kuroda's sea hare),2.4.99.20; 3.2.2.-; 3.2.2.6,282,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.-) (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase) (ADPRC) (ADRC) (NAD glycohydrolase) (NAD(+) nucleosidase) (NADase),Molluscs,"(280, 290]",2
P51821,ARF1_CHLRE,Chlamydomonas reinhardtii (Chlamydomonas smithii),3.6.5.2,181,ADP-ribosylation factor 1 (EC 3.6.5.2),Algae,"(180, 190]",3
P26990,ARF6_CHICK,Gallus gallus (Chicken),3.6.5.2,175,ADP-ribosylation factor 6 (EC 3.6.5.2),Birds,"(170, 180]",3
Q5ZI51,ADPRS_CHICK,Gallus gallus (Chicken),3.2.1.143; 3.2.2.-; 3.5.1.-,367,ADP-ribosylhydrolase ARH3 (ADP-ribose glycohydrolase ARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-),Birds,"(360, 370]",3
